image_id,prediction,ref1,ref2,ref3,ref4,ref5
17899,"A woman stands in the dining area at a table, wearing a green and white striped shirt and an apron, with a variety of baked goods and a game board on the table in front of her.",an old woman is in front of some food on a table,A person at a table in a room with some food.,Woman working with large assortment of baked goods at kitchen table.,A woman prepares bread and pastries on a table.,An older woman preparing cookies and bread at a table.
18575,"A table setting features a plate of food, including a burger, fries, and a glass of soda, alongside a plate of condiments and a napkin.","A burger sitting on a table, with another next to it.","Plates that have a burger, french fries, and condiments on them.","Two plates, one with a sandwich and fries, the other with just a sandwich and a pickle.","A place setting, including a burger, fries, a glass and condiments..",a table top with some food on top of it
19402,"A man and woman, both wearing winter coats with fur-lined hoods, stand together in a dimly lit room, with the man's face blurred out.",A COUPLE WEARING HEAVY COATS LAUGHING WHILE EATING PIZZA.,A woman eating a piece of pizza standing next to a man.,"Two youths wearing parka style coats, one eating and the other laughing.",Two people with heavy winter coats are eating,Young woman wearing winter clothing alongside friend preparing to eat slice of pizza.
20333,"A young boy with blonde hair and a white shirt is crouched down, playing with a bowl of dirt.",A young child squats down in front of a bowl.,a little boy kneeling down while attempting to stick his hand in a bowl of water,A young boy dressed in a tie plays outside by a water bowl.,Nicely dressed little boy gets ready to play in the dirt.,A little boy dipping his hand into water.
21839,"A man walks down a street at night, carrying a bag and wearing a dark jacket and jeans.",a person walking across the street with a traffic light above,A person that is walking on the street.,The pedestrian crosses the lit city street at nightitme.,A person crossing a street next to a crosswalk.,A person crosses a street under a streetlight at dusk.
22623,"The image depicts a close-up view of a silver camera with a lens and buttons, featuring a red logo on its side.",Closeup of a cellphone device with various buttons.,A close up photo of a smart phone lit up.,A close-up image of a multi media device.,Some control buttons on an orange and silver electronic device.,A small cell phone on a dark surface.
23126,"A man in a racing uniform stands on the back of a horse, with the horse's head and neck visible in the foreground.",A man is standing on top of two horses and holding the reigns.,Person standing on the pack of a galloping horse.,A man is standing on top of two horses that are running.,A man stands on the backs of two running horses.,there is a man that is standing on top of a horse
23937,"A calf lies in a field of tall grass, with a tree trunk and other animals visible in the background.",a small sheep is laying in a field,A white animal is in the short grass by a tree.,A grassy field with several cows laying down.,Several cows sitting out in the grass of a green pasture.,A young cow is resting in a grass field next to a tree.
25057,"A man in a white baseball cap and sunglasses is running shirtless across a grassy field, holding a frisbee in his right hand.",A man without a shirt in a park holding a beer and a frisbee.,A man throwing a frisbee while holding a beer,a man holding a drink with a frizbee in front of him,Man throwing frisbee in a green park with trees,A man without shirt on is throwing a frisbee.
25424,"A man in a white shirt and shorts is playing tennis, with the ball in mid-air and the racket extended in his hand.",A man hitting a tennis ball with a tennis racquet.,a tennis player swinging at the tennis ball,A tennis player hitting a ball on the court,A male tennis player swinging at a tennis ball.,A tennis player hits the ball up from the racket.
26690,"A skateboarder is captured in mid-air, performing a trick above a crowd of onlookers.",A man is high in the air as he skateboards on the ramp.,A man flying through the air while riding a skateboard.,A LARGE GROUP OF PEOPLE WATCH AS A SKATER DOES HIS TRICKS,A skateboarder doing a trick at a competition.,A person being photographed while on a skateboard.
27972,A man in a red shirt and black shorts is riding a yellow and white surfboard on a wave in the ocean.,A man in a red shirt rides a yellow surfboard on light blue water.,a surfer in a red top is surfing on a white and green board,a man riding a surfboard in the ocean,Male surfer in the water doing tricks on his surfboard.,A man is surfing in the crystal blue water
29393,A brown dog stands on a gray bench in front of a bush with green leaves and yellow fruit.,A large brown dog standing on the side of a white wood fence.,A dog standing on a bench with an orange tree in back.,A dog standing on a ledge in front of a lemon tree.,a brown and white dog a fence and a tree,A brown dog standing on a wooden bench near a lemon tree.
30504,"A skier, dressed in a white hat, black jacket, and green boots, is seen from behind, descending a snowy slope with skis and poles in hand.",A person riding skis down a snow covered slope.,A person going up a snow hill on skis.,A person cross-country skiing on a winters day.,A person cross country skis through the snow.,A tall man is on snow skis on a pathway.
31248,"A living room with a fireplace, bookshelves, and a white armchair is depicted.","Living room with white chairs and couches, fireplace and books on bookshelves.",A room with furniture and a fire place.,"A living room has a couch, a chair, and a fireplace.",a living room with a fire place a chair and lamps,A living room is shown with a seating and lamps.
32038,A large pizza with a thick crust and melted cheese is being placed on a wooden table.,A large cheese pizza being served to customers.,There is a fresh pizza that just came out the oven,a large cheesy pizza on a wooden counter,a close up of a pizza on a wooden table,A close-up of a cheese pizza on a wooden table.
32817,"A man in a gray shirt and orange hat is standing in a bathroom, leaning over a toilet with his pants around his ankles.",A man climbing on a toilet bowl in a closet,Two men stand over the green water spilled from a toilet.,Two men working on and repairing a toilet,a man with his foot on a toilet and a man holding something in his hand,Two men are doing work in a bathroom.
33114,"A commercial airliner is seen taking off from a runway, with its landing gear retracted and a trail of smoke or steam behind it.",A few meters are sitting near an Air plane.,A airplane that is sitting on a runway.,The back view of an airplane on a runway.,An airplane has just landed on a runway.,Searchlights in front view and a plane on a wide runway in the background.
34139,"A man and woman stand together in front of a large suitcase adorned with travel stickers, set against the backdrop of a building with a sign reading ""Fidelity Investments.""",Two people posing next to a giant suitcase in front of a building.,Suitcase sitting on the ground with stickers from various countries on it.,Two people posing next to a giant statue with a suit case.,Two people standing next to a life size replica of a suitcase.,a huge suitcase with a bunch of stickers on it
35197,"A skateboarder in shorts and sneakers is performing a trick on a ramp, with a building and trees visible in the background.",A person on a skateboard rides down a ramp.,Black and white photograph of person on a skateboard.,Person riding on edge of skateboard about to do a trick,A man is standing on a skateboard at a skate park.,A black and white photograph of a person wearing DC shoes on a skateboard in the sun.
36660,"The image depicts a person's feet, clad in black flip-flops with white-painted toenails, standing on a wooden floor amidst a collection of broken cell phones.",Someone in sandals is standing over a broken cell phone in pieces.,a cellophone broken into pieces by a womans feet,A person wearing sandals stands by a broken cell phone.,A woman with pretty painted toe nails standing in front of a broken cell phone.,The cell phone is broken at the feet of someone in flip flops.
37751,"A man in a black jacket and helmet rides a motorcycle on a dirt road, with a mountainous landscape in the background.",A person on dirt bike riding down a hill with mountains in background.,a person riding a motorcycle with mountains in the background,A person on a motorcycle riding on a mountain.,A person riding a motorcycle on a gravel road on a hill.,Two motorcycle riders are on a dirt path
38678,"A woman stands in the dining area at the table, holding a plate with a bagel on it.",A woman in striped shirt holding a plate with a bagel on it.,Woman in maroon shirt holding up a bagel.,a close up of a person holding a doughnut,A woman seated across the table shows off her bagel with cream cheese.,A woman sitting on a train is showing off a bagel.
39670,"A train is visible on a track, surrounded by trees and bushes.",A train traveling through rural countryside lined with trees.,"a blue train going up the tracks, lots of trees around.",a train moving along a railway line in the bush,A train drives down a narrow track surrounded by trees.,A silver and blue passenger train traveling through a heavily vegetated area.
40471,"The image depicts a kitchen with white cabinets and countertops, featuring a window with blinds, a ceiling fan, and a refrigerator, as well as a stove, sink, and dishwasher.",An older picture of a large kitchen with white appliances.,An all white painted kitchen with a ceiling fan.,A painted white kitchen with a refrigerator and an automatic dish washer next to an oven stove.,Small white kitchen with a ceiling fan hanging down.,a white kitchen with a ceiling fan a stove and refrigerator
42070,"A bus is parked on the side of a road, with a large windshield and a digital display showing the number ""51"" and the word ""Crosstown.""",A very big city bus on a big street.,A large bus on the side of a street.,"Blue, white, and green passenger bus parked at a stop.",a city bus parked on the side of the road,A white bus driving down a street next to a building.
42888,"A street sign with a red border and white background, featuring a red ""Tow Zone"" text and a red arrow pointing to the right, is prominently displayed on a pole amidst a backdrop of trees and buildings.",A corner street sign with a tow sign and a art piece,Forested area in city with a sign with cartoon character nearby.,A cartoon monster underneath a no parking sign.,"A no parking zone sign, on a street corner.",A street sign stating no parking and tow away zone.
44195,"A man and a woman stand on a snowy mountain peak, with the man holding a snowboard and the woman wearing a red jacket.",A woman with a snowboard with a man standing next to her on a ski slope.,Two people standing atop a snowy hill with snow boards in hand ready to head down the slope,Two people are standing in the snow with a snow board.,a person holding skis on a snowy surface,A couple of people standing on top of  a snow covered slope.
45090,The image depicts two surfers riding waves on a sunny day.,A couple of men in the water on surfboards.,People on a wave using a surf board in the ocean.,People riding the high waves on their surfboards.,Two surfers riding the waves in the ocean.,Two surfers riding the waves in the ocean.
46252,"A baseball player in a red uniform stands at home plate, ready to bat, with a catcher and umpire positioned nearby.",A batter ready to swing at home plate with an umpire and catcher behind him,A baseball player holding a bat during a game.,A male baseball player wearing red and white is up to bat.,a baseball player with a bat on the field,A baseball player in a red shirt is ready to hit the ball.
47121,"A black cat is drinking water from a white sink, with a bottle of soap and a white bowl on the counter nearby.",A cat standing on the edge of a sink drink water.,A cat drinking from a sink faucet that was left running.,A black and white cat drinks water from a sink faucet.,A black cat drinking water out of a water faucet.,a cat drinking water from a sink bowl
48153,"A woman's foot is clad in a pink shoe and blue jeans, with the shoe featuring a bow on the toe.",A foot wearing a pointy pink flat shoe rested upon a bench.,A woman showing off her pink pointy-toed heels.,A woman wearing blue jeans with a sexy foot in a pink shoe.,A photo of a bright pink shoe on a blue and green background.,A lady wearing a pink shoe and blue jeans.
49259,"A man in swim trunks lies on the grass near a body of water, with a sign in the foreground that reads ""Lakefront Trail"" and ""CLOSED.""",A man with his shirt off sitting by the shoreline sunning himself.,A sign laying on a lush green field near a body of water.,Man relaxing near a Trail Closed sign on the ground.,A man sitting on a wall next to water next to a barrier,A man who is sitting down next to a body of water.
50165,"A green and white train is traveling through a grassy field, with a row of red train cars behind it.",Small train running down the tracks in the middle of a field.,A short train traveling through a rustic contryside.,A small train moving along the tracks with a mountain town in the background.,A small train travels down the track by itself.,A small train is traveling near a large hills and a small town.
50844,"The image features a teddy bear wearing a green hat and red scarf, accompanied by a Coca-Cola polar bear and a snowman, all sitting together on a blue surface.",A bed filled with different types of stuffed animals.,two teddy bears and a stuffed snowman wearing hats,tHERE ARE SEVERAL STUFFED ANIMALS TOGETHER ON A BED,A group of three stuffed animals sitting next to each other on a bed.,a pair of teddy bears laying on a bed
51610,"The image depicts a young child sitting on a bed, intently watching a laptop screen.",A young girl watches a laptop on a bed.,A little girl sitting in front of a laptop computer.,A little child sitting in front of a laptop watching whats is on the screen.,A little girl sitting on a bed looking at a laptop,A laptop on the table and a baby looking at it
52412,"The image depicts a sprawling parking lot, a large building, and a cityscape in the distance, with a wing of an airplane visible in the foreground.",A jetliner wing flying over the top of a parking.,an air plane wing with a parking lot with cars,View from an airplane looking looking out over large parking lot.,A view of several parking lots from an airplane.,a big parking with a bunch of cars parked in it
53505,"A white toilet is situated in a bathroom, accompanied by a mirror above it that reflects a shelf stocked with various toiletries and towels.",A toilet sitting underneath a medicine cabinet in a bathroom.,A small bathroom with a toilet and medicine cabinet.,"A bathroom is shown with a stainless steel shelf, toilet and wall phone.",There are a variety of bottles and two towels over the toilet.,A toilet area features some shelving with silver accents and towels and a white toilet.
54592,"A skier in a white snowsuit and backpack stands on a snowy slope, holding a pair of skis and gazing down at the ground.","Two people with snow gear on, carrying equipment.",Two people hiking up a mountain with their ski's.,Two people on a snow covered hill with skis.,A person with some skis standing in the snow.,Couple of people walking up the snowy mountain with skis
55022,"A woman stands in the dining area at a table, with a bicycle parked nearby.",A bunch of different bikes on a wooden floor.,a row of bicycles for sale in a store,Bikes are lined up in the store on the floor,A pink bike in a bike shop with hardwood floors.,A row of bikes parked next to each other.
56288,"A large sandwich with various fillings, including meat, cheese, lettuce, tomato, and pickles, sits on a paper plate in front of a computer monitor.",A tall sandwich with pickle on a white plate.,A half sandwich sitting on a paper plate located on a table,A large half a sandwich sitting on a plate next to a pepperocini,A sandwich on a plate with a pickle and peppers.,A very tall sandwich is cut in half.
57238,"A white refrigerator stands in a kitchen, with a doorway leading to a dining area featuring a wooden table and chairs.",A white refrigerator freezer sitting inside of a kitchen.,A corner of a kitchen with a big fridge.,A kitchen has a plain white fridge in the corner.,A refrigerator in the corner of a kitchen just off the dining room,a room showing a very big fridge and a dining table
58350,"A woman sits on a couch, holding a slice of pizza in her mouth and a yellow object in her hand, with another woman sitting next to her.",a young woman with a slice of pizza in her mouth,A young woman is holding a slice of pizza with her mouth.,A woman with a slice of pizza in her mouth next to another woman.,a woman holding onto a piece of pizza with her mouth,A young woman poses comically with a piece of pizza in her mouth.
59386,"A group of giraffes are gathered around a tree, eating leaves from its branches.",A group of giraffes stand together feeding on leaves in a large park.,a herd of giraffes eat on some tree leafs,Group of giraffes grazing from same high tree in field,a number of giraffes in a field near one another,A group of giraffes that are standing in the grass.
60363,"The image depicts a large clock on the side of a building, with a sign reading ""BART"" and a bird perched on the roof.",A large clock mounted to the side of a building.,A huge clock on the side of a building.,The clock is located on the side of the building.,A large clock on a wall with an industrial building in the background.,"A clock on a building next to a building with a ""Bart"" logo."
60899,"A young child stands on a rug in a living room, holding a green brush above their head with both hands.",The young boy is playing in the living room of his house.,A little boy has a hairbrush in his hands.,a toddler playing with a hairbrush in a living room,A young boy stands in the living room playing with a brush,A toddler holding a hairbrush above his head.
61584,"A woman and a child are sitting on a statue of a horse in a garden, with the woman wearing a red dress and the child wearing a pink shirt.",a couple is sitting on a statue of a horse and some plants,a couple sitting on a horse statue posing for a picture in grassy setting,A couple posing on a horse statue in a courtyard.,A man and woman are sitting on a statue of a horse.,a man and woman on a patio riding a statue
62692,"A woman in a black tank top and white skirt is running on a tennis court, with a chain-link fence and a gray sky visible in the background.",A woman standing on top of a tennis court.,a tennis player with a racket on the court,a girl that is on a tennis court with a racket,a woman is out on a court playing tennis,A woman prepares to hit a tennis ball during a match.
64084,"A plate of sliced bread is placed on a table, accompanied by a pepper grinder and a bottle of mayonnaise.",A batch of bread slices sitting on a plate.,a plate with some pieces of bread on it,Sliced french bread is on a plat that is lying on a table.,Bread that is sitting on a plate that is on a table.,A white plate with lots topped with garlic bread.
64868,"A man is standing in a kitchen, holding a small dog and leaning over an open oven.",A man smiles maniacly while putting a dog into an oven.,a man holding a cat in front of a stove,a man putting a puppy inside of an oven.,A man acting like he's going to put his dog in an oven.,a person standing in front of an open oven .
65798,"A baseball player in a white uniform with the number 50 on the back is standing on the field, with a crowd of spectators watching from the stands.",A baseball team playing a baseball game in front of a crowd.,"The batter stands at the plate ready to swing, as the players stand ready in the outfield.",A baseball game with a bunch of people in the stands.,baseball players getting paid to play a game,A baseball player preparing to bat during a game.
66771,"A man and a woman sit at a table, with the man wearing a black hoodie and the woman holding a cell phone, surrounded by various objects including a bowl of soup, a glass of water, and a red straw.",A woman holding a smart phone at a table.,"Two people at a restaurant, one of whom is looking at a cellphone.",Two people sitting at a table with beverages on it and the woman holding her phone.,A man and woman at a table with several drinks.,A man and women sitting at a booth photographing tea.
67315,"The image depicts a man wearing a striped shirt and tie, with a bookshelf or bookcase visible in the background.",A close-up picture of a man wearing a tie.,Somebody is in the photograph not certain who that individual is.,A man in a shirt and tie standing up.,A view of a man wearing a casual shirt and tie.,A man's striped dress shirt and patterned tie.
68387,"A baseball player stands at home plate, holding a bat and wearing a black jersey with white pants, while a catcher in a red and white uniform crouches behind the plate.","The baseball player is participating in an intense game,",A baseball game in progress with the batter up to plate.,A professional baseball holding his bat at home base.,Baseball players prepare for the next pitch in a game.,A batter up to bat at a baseball game.
69213,"The image depicts two men standing side by side, with one wearing a dark suit jacket and the other dressed in a blue pinstripe suit jacket.",Two men wearing suits and hats are walking together.,Two men in blazers and fedoras with a moped in the background.,Two men who are wearing suits and hats standing next to each other.,two men wearing hats standing next to each other,Two men are dressed in blazers and hats in a rural village area.
70739,"A woman in a red shirt and a woman in a gray shirt sit together at a table, with the woman in red holding a glass of wine.",A couple of women sitting next to each other.,two women are having a glass of wine together,Two women sitting at a table with wine glasses in their hands.,a couple of women smile as they hold wine glasses,Two women who are holding wine glasses.
72281,"A skateboarder in a plaid shirt and khaki pants is performing a trick on a skateboard, with a building in the background.",The young man in the cap jumps up on a skateboard.,A man on a skateboard with a hat.,A skateboarder jumping over an obstacle on his board.,A guy on a skate board high in the air.,A man that is in the air with a surfboard.
73702,"The image depicts two men standing in front of an ambulance, with one man wearing a colorful hat and the other wearing a gray hoodie.",A man with an umbrella hat stands next to another man.,A couple of guys standingoutside in the sun talking to each other.,A couple of men standing next to each other on a  tennis court.,Man holding a bag and a half in the shape of an umbrella.,Two people standing holding bags and wearing hats.
74646,"A beach scene with a person flying a kite, a red bucket, and a hillside in the background.",People flying kites on a sandy beach while a bucket sits in the sand.,Two people standing on a beach flying a kite.,a group of people walk on a beach,A MAN AND WOMAN WALKING THE BEACH WITH A KITE,A beach area that has people on the sand and one person flying a kite overhead.
76416,"A white bus with a colorful design and the word ""iPod"" on the side is parked in front of a large glass building.",A double decker bus driving past very tall buildings.,A double decker bus that is parked in front of a big building.,a double decker bus with a giant iPod advertisement plastered over the entire bus,a yellow green white and red double decker bus and a building,A double decker passenger bus with advertising for a technology product.
77595,The image shows a cat lying on a bed with a plaid blanket and a laptop computer in the background.,A cat sleeping on a bed next to a laptop computer.,A small kitten lies next to a laptop.,A cat laying on a bed next to a laptop.,a close up of a cat laying next to a laptop,"An orange cat with pointy ears is on a bed, with a laptop computer nearby."
78748,"The image depicts a group of people gathered in a parking lot, surrounded by motorcycles and a large orange banner with the Harley-Davidson logo.",A group of motorcycles on display for a crowd.,"A couple of motorcycles in front of sign, with people standing around.",A gathering of people and several motor bikes.,Crowd standing outside of a bike show event.,Large group of people outdoors with their motorcycles.
79144,Two black bears are seen playing on a fallen tree trunk in a grassy area.,Bear cubs play among the fallen tree limbs.,Two young black bears playing at the zoo,Couple of young bears playing together on tree limbs,Two bear cubs are playing on a log.,Two animals playing outside on a tree branch.
79969,"A tennis player in a white shirt and blue shorts is in the midst of a serve, with a crowd of spectators watching from the stands.",a tennis player hitting a serve on a court,A tennis player jumps and stretches to return the ball.,A man swinging a tennis racquet on a court.,The man is playing a game of tennis on the court.,A man jumping into the air on a tennis court.
80659,"The image depicts three dark brown racehorses with jockeys on their backs, racing on a dirt track.",Horses and their riders are racing in a horse race.,a group of racing horses are racing around the track,A group of jockeys ride horses on a track.,horses racing on a race track with jockeys.,Horse number 11 and 6 engaged in a horse race.
81738,"A person is cutting a white cake with blue and yellow writing on it, which appears to be a birthday cake.",Someone about to cut and birthday cake with blue and yellow frosting.,A person has a knife in his hand above the cake.,a person holding a knife cuts into a cake,A hand holding a knife and about to cut a large birthday cake.,A person cutting a sheet cake with a large knife.
82765,A bed with a rumpled comforter and a laptop computer on it is illuminated by sunlight streaming through a window.,A bed and window in a small room.,Black and white photograph of a bed with a laptop on it.,A bed in front of a window with a pad of paper on top.,a bed with a square object on it next to a window.,Black and white picture of an object laying on a bed with sun coming through the window.
83531,"A group of sausages are being cooked on a grill, with a person's hand visible in the foreground.",A BBQ topped with lots of sausages sitting side by side.,There are many links of sausage on the grill.,Several rows of cooking hot dogs on a grill.,a number of hot dogs cooking on a grill,The many sausages are arranged on the portable grill.
84477,"A woman stands on the beach, facing the ocean, with a blue umbrella providing shade nearby.",A woman walks out of the ocean towards a beach chair and umbrella.,a chair and a umbrella that is on a beach,This is a chair and umbrella that is sitting near an ocean.,A beach chair and umbrella in the sand on the beach.,A chair and umbrella sitting on a beach near a person.
85195,"A slice of cake with a pink frosting sits on a white plate, with a fork resting on top of it.",A white plate topped with an icing and sauce covered dessert.,a slice of cake with some syrup next to it,some kind of cake that is on a white plate,A small desert with a fork next to it.,A plate with an orange cake dessert and a fork.
85823,"The image depicts two zebras grazing on grass, with one zebra positioned in front of the other.",Two horses grazing on grass in the sun,A group of zebra standing on top of a grass covered field.,Zebras standing near each other with their heads near the ground.,This is a picture of zebras in a field.,some zebras leaning down to eat some grass
87144,"A man and a woman sit on a bench in a park, with the man wearing a white hat and the woman holding a baby.",A woman and her child sitting nest to a man on a park bench.,a couple and their small baby girl are sitting on a bench,A man and woman sit on benches with a small child.,A baby sitting between a lady and a man on a bench under a tree.,a couple sitting on a bench with a little girl
88250,"The image depicts two elephants facing each other, with one elephant's trunk curled around the other's head.",Two elephants with their trunks attached to each other,two elephants holding their trunks together like they were hugging,Two elephants locking noses on a dirt surface.,A couple of baby elephants snugging trunks while standing on a  dirt field..,these two elephants look like they are fighting
88951,"A man sits on a bench in a park, accompanied by a small dog lying on the ground beside him.",A man and his dog sit at the park.,A man sitting at a green bench next to a tall tree.,A man sits on a bench with a dog laying at his feet.,A man and his dog enjoy an afternoon in the park,Dog and his human walking partner relax in a park.
89670,"A round cake with a light-brown base and a red top sits on a green cake stand, with a layer of white frosting and red filling visible between the two layers.",A waffle with cream and strawberries sits on a plate.,a two tier cake with some frosting and strawberries in the middle,The sandwich cookie has fruit in the middle of it.,"A patty, with frosting on it, in the middle.",A plate that has cake on top of it.
90208,"The image depicts a green double-decker bus parked in front of a red double-decker bus, with trees and a blue sky visible in the background.",The picture of three buses on a lot.,Three double decked buses are parked on pavement.,Several green and red double decker buses lined up parked.,a green double decker bus sits at the front of a row of buses,A green and two red double decker tour buses.
91615,"A kitchen with light wood cabinets and countertops, stainless steel appliances, and a sink is visible in the image.",A very clean kitchen has stainless steel appliances.,a kitchen that has a stove and a sink in it,A kitchen is shown with stainless steel appliances.,"A kitchen has light wooden colored cabinetry, beige countertops, and stainless steel appliances in an open concept house.",A kitchen is nicely organized and looks very clean.
92177,"A blue cake with a beach theme, featuring a surfboard and palm trees, sits on a blue plate with a shark design.",Advertising photograph of a surf-themed birthday cake from a bakery,A birthday cake with a island design and theme.,a birthday cake decorated to look like an island with surfboards,The birthday cake has dark and light blue frosting.,A blue cake features a small island on top and sharks swimming on the bottom of the cake.
93437,"The image depicts an older man wearing a blue jacket and a black hat, standing in a room with a kitchen counter and cabinets in the background.",A shot of an elderly man inside a kitchen.,An old man is wearing an odd hat,An older man is wearing a funny hat in his dining room.,A man in a jacket and hat looks at the camera.,An old man standing in a kitchen posing for a picture.
