,score1,score2,score3,score4,score5,score_mean
52,0.5,0.5,0.8,0.7,0.3,0.5599999999999999
53,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
58,0.9,0.7,0.9,0.8,0.9,0.84
60,0.7,0.8,0.5,0.9,0.3,0.64
61,0.9,0.8,0.8,0.9,0.8,0.84
62,0.7,0.7,0.5,0.5,0.5,0.58
63,0.9,0.5,0.7,0.7,0.7,0.7000000000000001
65,0.7,0.5,0.7,1.0,0.7,0.7199999999999999
66,0.7,0.8,0.5,0.7,0.7,0.68
67,0.7,0.8,0.9,0.9,0.7,0.7999999999999999
68,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
69,0.5,0.85,0.7,0.9,0.85,0.7599999999999999
70,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
71,0.7,1.0,0.7,0.8,0.7,0.7800000000000001
72,0.5,0.7,0.5,0.5,0.8,0.6
73,0.7,0.8,0.8,0.7,0.7,0.7400000000000001
75,0.6,0.5,0.7,0.5,0.7,0.6
78,0.7,0.5,0.8,0.7,0.9,0.7200000000000001
79,0.9,0.9,0.5,0.3,0.7,0.66
81,0.9,0.8,0.8,0.2,0.9,0.7200000000000001
82,0.9,0.85,0.9,0.9,0.7,0.85
83,0.9,0.7,0.5,1.0,0.8,0.7800000000000001
85,0.3,0.3,0.7,0.7,0.7,0.5399999999999999
86,0.7,0.5,0.5,0.5,0.7,0.5800000000000001
87,0.85,0.3,0.9,0.9,0.9,0.7699999999999999
88,0.9,1.0,0.5,0.8,0.9,0.8200000000000002
89,0.7,0.8,0.5,0.8,0.7,0.7000000000000001
90,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
92,0.6,0.8,0.8,0.5,0.7,0.68
93,0.2,0.85,0.7,0.5,0.5,0.5499999999999999
95,0.6,0.7,0.8,0.7,0.5,0.66
96,0.85,0.7,0.7,0.7,0.7,0.7300000000000001
97,0.7,0.5,0.5,0.5,0.5,0.54
98,0.5,0.8,0.3,0.7,0.7,0.6
99,0.7,0.7,0.7,0.8,0.8,0.7399999999999999
100,0.7,0.7,0.7,0.9,0.7,0.7399999999999999
101,0.7,0.5,0.5,0.5,0.5,0.54
103,0.6,0.7,0.8,0.7,0.8,0.7199999999999999
104,0.3,0.6,0.7,0.7,0.85,0.63
105,0.9,0.9,0.7,0.85,0.7,0.8099999999999999
107,0.5,0.9,0.9,0.3,0.85,0.69
108,0.8,0.5,0.8,0.7,0.7,0.7000000000000001
109,0.6,0.7,0.7,0.7,0.7,0.6799999999999998
110,0.7,0.8,0.8,0.8,1.0,0.82
111,0.7,0.8,0.8,0.8,0.7,0.7599999999999999
112,0.7,0.5,0.5,0.7,0.7,0.62
113,0.7,0.85,0.9,0.7,0.7,0.7699999999999999
114,0.7,0.9,0.9,0.8,0.7,0.7999999999999999
115,0.8,0.7,0.8,0.8,0.8,0.7799999999999999
116,0.7,0.8,0.7,0.8,0.8,0.7599999999999999
117,0.8,0.8,0.7,0.8,0.8,0.7799999999999999
118,0.7,0.7,0.9,0.6,0.9,0.7599999999999999
120,0.7,0.7,0.85,0.9,0.9,0.8099999999999999
121,1.0,1.0,1.0,1.0,1.0,1.0
122,0.9,0.85,0.7,0.8,0.9,0.8300000000000001
123,0.7,0.5,0.5,0.7,0.7,0.62
124,0.2,0.5,0.3,0.8,0.5,0.45999999999999996
125,0.8,0.7,0.8,0.7,0.8,0.7599999999999999
126,0.7,0.85,0.5,0.8,0.7,0.71
127,0.7,0.8,0.7,1.0,0.8,0.7999999999999999
128,0.7,0.9,0.7,0.9,0.7,0.7799999999999999
130,0.7,0.7,1.0,0.7,1.0,0.82
131,0.8,0.8,0.7,0.8,0.5,0.7199999999999999
132,0.85,0.9,0.9,0.9,0.9,0.89
133,0.8,0.7,1.0,0.9,0.7,0.82
134,0.7,0.9,0.8,0.3,0.9,0.7200000000000001
136,0.7,0.9,0.85,0.8,0.9,0.8300000000000001
137,0.7,0.7,0.5,0.7,0.7,0.66
138,0.9,0.8,0.9,0.7,0.8,0.82
139,0.2,0.5,0.5,0.8,0.7,0.54
141,0.7,0.7,0.6,0.7,0.7,0.68
142,0.9,0.9,0.9,0.8,0.9,0.88
143,0.5,0.6,0.7,0.7,0.3,0.5599999999999999
144,0.7,0.7,0.6,0.7,0.3,0.6
145,0.8,0.7,0.7,0.7,0.7,0.7200000000000001
147,0.9,0.9,0.8,0.7,0.7,0.7999999999999999
148,0.9,0.7,0.9,0.9,0.7,0.82
149,0.7,0.7,0.5,0.9,0.7,0.7000000000000001
151,0.7,0.7,0.8,0.9,0.5,0.7200000000000001
152,0.7,0.8,0.8,0.7,0.5,0.7000000000000001
154,0.7,0.8,0.85,0.8,0.8,0.79
155,0.5,0.5,0.7,0.7,0.7,0.62
156,0.7,0.7,0.7,0.5,0.7,0.66
157,0.9,0.8,0.8,0.8,0.7,0.7999999999999999
158,0.3,0.5,0.5,0.3,0.6,0.44
159,0.7,0.7,0.8,0.9,0.7,0.7599999999999999
160,0.7,0.7,0.7,0.5,0.8,0.6799999999999998
161,0.7,0.9,0.9,0.85,0.5,0.77
162,0.9,0.9,0.8,0.8,0.9,0.8600000000000002
165,0.7,0.3,0.7,0.8,0.8,0.66
166,0.85,0.9,0.8,0.8,0.9,0.85
167,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
168,0.7,0.5,0.8,0.7,0.7,0.68
169,0.7,0.7,0.7,0.6,0.7,0.6799999999999998
170,0.5,0.7,0.7,0.5,1.0,0.68
171,0.9,0.7,0.7,0.7,0.7,0.7400000000000001
172,0.8,0.9,0.5,0.7,0.7,0.7200000000000001
173,0.7,0.7,0.8,0.8,0.8,0.7599999999999999
174,0.7,0.9,0.7,0.8,0.7,0.7599999999999999
175,0.9,0.5,0.9,0.9,0.8,0.7999999999999999
176,0.9,0.7,0.8,0.9,0.9,0.84
179,0.8,0.8,0.7,0.7,0.7,0.7400000000000001
180,0.7,0.7,0.5,0.9,0.5,0.66
181,0.6,0.5,0.7,0.6,0.5,0.58
182,0.5,0.7,0.7,0.7,0.7,0.66
183,0.8,1.0,0.5,0.6,0.7,0.7199999999999999
184,0.7,0.85,0.8,0.7,0.8,0.7699999999999999
186,0.2,0.8,0.5,0.7,0.7,0.5800000000000001
187,0.7,0.5,0.5,0.5,0.7,0.5800000000000001
188,0.3,0.3,0.7,0.6,0.7,0.5199999999999999
190,0.7,0.8,0.9,0.7,0.9,0.7999999999999999
191,0.5,0.8,0.5,0.7,0.3,0.5599999999999999
192,0.7,0.9,0.9,0.8,0.9,0.84
194,0.7,0.7,0.85,0.7,0.8,0.75
195,0.7,0.7,0.7,0.7,0.5,0.66
196,0.85,0.9,0.7,0.8,0.7,0.79
198,1.0,0.7,0.9,0.85,0.8,0.85
199,0.7,0.9,0.85,0.7,0.9,0.8100000000000002
201,0.8,0.8,0.9,0.7,0.7,0.7800000000000001
203,0.7,0.8,0.5,0.7,0.7,0.68
204,0.3,0.7,0.8,0.7,0.7,0.64
206,0.7,0.8,0.7,0.5,0.9,0.7200000000000001
207,0.5,0.7,1.0,0.7,1.0,0.7800000000000001
208,0.9,0.7,0.9,0.9,0.8,0.84
210,0.9,0.7,0.8,0.9,0.7,0.7999999999999999
211,0.7,0.5,0.7,0.7,0.7,0.66
212,0.8,0.7,0.5,0.7,0.8,0.7000000000000001
213,0.3,0.5,0.5,0.3,0.5,0.42
214,0.7,0.7,0.8,0.7,0.5,0.68
215,0.8,0.8,0.7,0.7,0.7,0.7400000000000001
216,0.5,0.7,0.7,0.5,0.9,0.66
218,0.8,1.0,0.8,0.5,0.7,0.7599999999999999
220,0.7,0.7,0.8,0.5,0.8,0.7000000000000001
221,0.7,0.7,0.5,0.9,0.9,0.7399999999999999
222,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
223,0.3,0.3,0.7,0.5,0.7,0.5
224,0.5,0.5,0.5,0.3,0.8,0.52
225,0.9,0.8,0.8,0.8,0.7,0.7999999999999999
226,0.3,0.5,0.5,0.7,0.7,0.54
227,0.5,0.7,0.8,0.8,0.8,0.7199999999999999
228,0.8,0.8,0.8,0.7,0.7,0.7600000000000001
230,0.7,1.0,0.8,0.2,1.0,0.7400000000000001
231,0.7,0.9,1.0,0.6,0.7,0.7800000000000001
232,0.9,0.8,0.7,0.8,0.7,0.7800000000000001
233,0.95,0.9,0.9,0.85,0.7,0.86
234,0.2,0.7,0.2,0.2,0.5,0.35999999999999993
235,0.9,0.9,0.8,0.8,0.9,0.8600000000000002
236,0.6,0.3,0.5,0.8,0.3,0.5
237,0.8,0.8,0.7,0.7,0.8,0.7599999999999999
238,0.5,0.5,0.7,0.7,0.3,0.5399999999999999
239,0.9,0.9,0.9,0.85,0.9,0.89
241,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
242,0.8,0.7,0.85,0.7,0.7,0.75
243,0.6,0.7,0.9,0.7,0.7,0.7199999999999999
244,0.8,0.9,0.7,0.7,0.7,0.7600000000000001
245,0.7,0.7,0.7,0.7,0.9,0.7399999999999999
246,0.9,0.9,0.7,0.9,1.0,0.88
247,0.7,0.8,0.7,0.7,0.7,0.7200000000000001
248,0.9,0.9,0.7,0.7,0.9,0.8200000000000002
249,0.9,1.0,0.9,0.7,0.7,0.84
250,0.7,0.7,0.5,0.5,0.5,0.58
251,0.7,0.8,0.7,0.7,0.5,0.68
252,0.7,0.7,0.5,0.5,0.7,0.62
253,0.7,0.9,0.7,0.5,0.7,0.7000000000000001
254,0.8,0.9,0.7,0.7,0.8,0.7800000000000001
255,0.8,0.3,0.9,0.7,0.7,0.68
258,0.7,0.7,0.7,0.8,1.0,0.7799999999999999
260,0.8,0.85,0.7,0.85,0.85,0.8099999999999999
262,0.5,0.6,0.8,0.7,0.7,0.66
263,0.7,0.9,0.9,1.0,0.9,0.88
264,0.7,0.9,0.9,0.9,0.8,0.84
265,0.7,0.9,0.8,0.8,0.9,0.8200000000000002
267,0.9,0.8,0.7,0.85,0.85,0.8200000000000002
269,0.7,0.7,0.7,0.7,0.5,0.66
270,0.8,0.7,0.7,0.5,0.3,0.6
271,0.7,0.7,0.5,0.8,0.7,0.68
272,0.85,0.8,0.9,0.9,0.9,0.87
273,0.7,0.8,0.7,0.8,0.9,0.7799999999999999
274,0.8,0.5,0.5,0.8,0.9,0.7000000000000001
278,0.3,0.7,0.3,0.7,0.6,0.52
279,0.5,0.5,0.3,0.3,0.7,0.45999999999999996
280,0.9,0.9,0.85,0.9,0.6,0.83
281,0.7,0.7,0.9,0.5,0.9,0.7399999999999999
283,0.7,0.5,1.0,0.7,0.8,0.7400000000000001
284,0.5,0.3,0.8,0.7,0.7,0.6
285,0.7,0.8,0.8,0.7,0.5,0.7000000000000001
286,0.9,0.7,0.9,0.9,0.9,0.86
287,0.8,0.8,0.9,0.8,0.9,0.84
289,0.8,0.5,0.7,0.8,0.8,0.7199999999999999
292,0.7,0.7,0.8,0.7,0.7,0.7200000000000001
293,0.9,0.9,1.0,0.8,0.9,0.9
294,0.5,0.5,0.7,0.8,0.7,0.64
295,0.9,0.7,0.9,0.6,0.9,0.7999999999999999
296,0.7,0.85,0.5,0.7,0.7,0.6900000000000001
297,0.7,0.6,0.7,0.85,0.5,0.6699999999999999
298,0.5,0.7,0.7,0.7,0.2,0.5599999999999999
299,0.9,0.7,1.0,0.3,0.9,0.7599999999999999
300,0.5,0.7,0.7,0.5,0.8,0.64
301,0.5,0.7,0.5,0.7,0.5,0.58
302,0.8,0.8,0.9,0.8,0.8,0.82
303,0.8,0.5,0.8,0.9,0.9,0.7799999999999999
304,0.8,0.8,0.7,0.85,0.7,0.7699999999999999
305,0.3,0.7,0.9,0.7,0.3,0.58
306,0.7,0.9,0.9,0.9,0.7,0.82
307,1.0,0.7,1.0,0.5,0.7,0.7800000000000001
308,0.7,0.9,0.8,0.5,0.8,0.7400000000000001
309,0.7,0.7,0.8,0.7,0.7,0.7200000000000001
310,0.8,0.8,0.85,0.8,0.85,0.82
311,0.7,0.7,0.9,0.7,0.7,0.7400000000000001
312,0.8,1.0,0.9,0.9,0.8,0.88
313,0.5,0.6,0.5,0.5,0.5,0.52
315,0.7,0.3,0.9,0.8,0.7,0.68
316,0.8,0.9,0.9,0.9,0.7,0.84
317,0.9,0.8,0.7,0.85,0.8,0.8100000000000002
318,0.7,0.5,0.7,0.5,0.7,0.62
319,0.9,0.85,0.7,0.7,0.8,0.79
320,0.7,0.8,0.7,0.5,0.5,0.64
321,0.8,0.7,0.8,0.7,0.7,0.7400000000000001
322,0.7,0.7,0.3,0.5,0.7,0.5800000000000001
323,0.5,0.7,0.6,0.3,0.8,0.58
324,0.9,0.9,0.9,0.85,0.9,0.89
326,0.7,0.7,0.8,0.9,0.6,0.7400000000000001
327,0.8,0.9,0.9,0.9,1.0,0.9
328,0.7,0.7,0.2,0.3,0.5,0.48
329,0.7,0.5,0.9,0.5,0.6,0.64
330,0.8,0.7,0.5,0.7,0.7,0.68
332,0.9,0.7,0.85,0.9,0.85,0.84
333,0.85,0.8,0.9,0.5,0.7,0.75
334,0.7,0.8,0.7,0.9,0.8,0.7800000000000001
335,0.3,0.5,0.6,0.3,0.6,0.45999999999999996
336,0.85,0.7,0.8,0.7,0.8,0.7699999999999999
337,0.3,0.7,0.8,0.7,0.3,0.5599999999999999
338,0.8,0.5,0.7,0.9,0.8,0.7400000000000001
339,0.5,0.7,0.7,0.8,0.7,0.68
340,0.3,0.7,0.5,0.7,0.5,0.54
341,0.7,0.7,0.8,0.7,0.9,0.7600000000000001
342,0.3,0.7,0.8,0.8,0.7,0.66
343,0.7,0.6,0.7,0.5,0.7,0.64
344,0.9,0.5,0.9,0.8,0.7,0.7599999999999999
345,0.7,0.8,0.9,0.8,0.9,0.8200000000000002
346,0.7,0.7,0.7,0.8,0.9,0.7599999999999999
347,0.9,0.9,0.7,0.9,0.8,0.84
350,0.9,0.7,0.7,0.9,0.9,0.82
351,0.7,0.8,0.3,0.7,0.7,0.64
352,0.7,0.7,0.7,0.8,0.5,0.6799999999999998
353,0.3,0.5,0.7,0.5,0.7,0.54
355,0.3,0.7,0.8,0.5,0.7,0.6
356,0.8,0.7,0.9,0.85,0.7,0.79
357,0.9,0.9,0.9,1.0,0.9,0.92
358,0.8,0.9,0.5,0.9,0.9,0.7999999999999999
360,0.7,0.8,0.2,0.8,0.9,0.68
362,0.7,0.7,0.7,0.7,0.3,0.62
364,0.9,0.8,0.8,0.9,1.0,0.88
365,0.9,0.7,0.5,0.7,0.7,0.7000000000000001
366,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
367,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
368,0.7,0.5,0.7,0.8,0.7,0.68
369,0.7,0.7,0.7,0.8,0.8,0.7399999999999999
370,0.8,0.8,0.8,0.5,0.7,0.7200000000000001
371,0.7,0.8,0.85,0.5,0.8,0.7300000000000001
372,0.8,0.7,0.9,0.7,0.8,0.7799999999999999
373,0.5,0.7,0.5,0.5,0.2,0.48000000000000004
374,0.3,0.7,0.5,0.7,0.3,0.5
375,0.3,0.8,0.5,0.7,0.6,0.58
376,0.5,0.7,0.7,0.5,1.0,0.68
377,0.85,0.85,0.9,1.0,0.9,0.9
378,0.7,0.9,0.8,0.7,0.8,0.7800000000000001
379,0.5,0.9,0.7,0.5,0.7,0.66
380,0.5,0.9,0.5,0.7,0.7,0.66
381,0.7,0.9,0.8,0.9,0.7,0.7999999999999999
382,0.5,0.5,0.3,0.7,0.9,0.58
383,0.8,0.7,1.0,0.8,0.9,0.84
384,0.7,0.5,0.5,0.7,0.7,0.62
385,0.8,0.7,1.0,0.8,0.7,0.7999999999999999
387,0.8,0.8,0.6,1.0,0.85,0.8099999999999999
388,0.5,0.5,0.5,0.7,0.7,0.5800000000000001
389,0.85,0.7,0.5,0.7,0.6,0.67
390,0.7,0.7,0.3,0.5,0.7,0.5800000000000001
391,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
392,0.7,0.7,0.85,0.7,0.7,0.7300000000000001
393,0.8,0.8,0.85,0.7,0.9,0.8100000000000002
394,0.7,0.7,0.8,0.9,0.8,0.7800000000000001
395,0.5,0.7,0.5,0.7,0.7,0.62
396,0.7,0.8,0.9,0.5,0.7,0.7199999999999999
397,0.7,0.7,0.7,0.8,0.7,0.7199999999999999
399,0.8,0.7,0.7,0.5,0.8,0.7000000000000001
400,0.9,0.7,0.9,0.9,0.8,0.84
401,0.5,0.3,0.8,0.7,0.8,0.62
402,0.8,0.8,0.8,0.8,0.8,0.7999999999999999
404,0.85,0.8,0.7,0.85,0.7,0.7799999999999999
406,0.5,0.8,0.7,0.9,1.0,0.7799999999999999
407,0.5,0.8,0.8,0.7,0.5,0.66
408,0.6,0.7,0.7,0.4,0.5,0.58
409,0.7,0.7,0.5,0.3,0.7,0.58
410,0.7,0.7,0.7,0.9,0.8,0.7599999999999999
411,0.5,0.5,0.5,0.5,0.5,0.5
412,0.9,0.7,0.8,0.8,0.7,0.7800000000000001
413,0.7,0.5,0.7,0.7,0.7,0.66
414,0.7,0.8,0.8,0.7,0.9,0.7799999999999999
415,0.9,0.5,0.3,0.7,0.9,0.66
416,0.5,0.7,0.8,0.5,0.9,0.68
417,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
419,0.9,0.7,0.9,0.9,0.9,0.86
420,0.8,0.7,0.5,0.7,0.5,0.64
421,0.5,0.8,0.7,0.8,0.5,0.66
422,0.7,0.8,0.6,0.5,0.3,0.58
424,0.7,0.8,0.7,0.9,0.8,0.7800000000000001
425,0.7,0.9,0.8,0.8,0.5,0.7400000000000001
427,0.8,0.8,0.5,0.8,0.7,0.7200000000000001
428,0.5,0.5,0.2,0.5,0.7,0.48
429,0.7,0.9,0.5,0.9,0.7,0.7400000000000001
430,0.5,0.7,0.2,0.7,0.5,0.5199999999999999
432,0.7,0.3,0.5,0.7,0.3,0.5
433,0.5,0.9,0.9,0.9,1.0,0.8399999999999999
434,0.3,0.5,0.7,0.85,0.7,0.61
435,0.5,0.8,0.7,0.9,0.7,0.7199999999999999
436,0.5,0.7,0.8,0.9,0.9,0.7599999999999999
437,0.7,0.8,0.7,0.9,0.7,0.7599999999999999
438,0.5,0.7,0.5,0.8,0.7,0.64
439,0.3,0.5,0.7,0.5,0.7,0.54
440,0.7,0.7,0.7,0.8,0.8,0.7399999999999999
441,0.8,0.9,0.3,0.8,0.8,0.7199999999999999
442,0.8,0.7,0.7,0.5,0.5,0.64
443,0.5,0.7,0.6,0.85,0.7,0.6699999999999999
444,0.7,0.8,0.9,0.7,0.85,0.7899999999999999
445,0.9,0.9,0.7,0.7,0.9,0.8200000000000002
446,0.5,0.5,0.8,0.7,0.7,0.64
447,0.8,0.8,0.8,0.8,0.8,0.7999999999999999
448,0.8,0.9,0.8,0.5,0.5,0.7000000000000001
449,0.7,0.5,0.9,0.7,0.7,0.7000000000000001
450,0.7,0.8,0.7,0.7,0.8,0.7400000000000001
451,0.5,0.7,0.6,0.7,0.6,0.62
452,0.9,0.8,0.7,0.8,0.8,0.7999999999999999
453,0.8,0.7,0.5,0.85,0.8,0.7300000000000001
454,1.0,0.5,0.8,0.5,0.8,0.7199999999999999
455,0.7,0.8,0.6,0.7,0.8,0.7199999999999999
456,0.7,0.8,0.7,0.8,0.7,0.7400000000000001
457,0.3,0.85,0.7,0.7,0.5,0.61
458,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
459,0.5,0.7,0.7,0.5,0.8,0.64
460,0.7,0.7,0.2,0.7,0.9,0.64
462,0.7,0.6,0.5,0.7,0.7,0.64
463,0.7,0.9,0.9,0.9,0.95,0.87
464,0.5,0.9,0.7,0.9,0.5,0.6999999999999998
465,1.0,0.9,0.9,0.7,0.7,0.84
466,1.0,0.8,0.7,0.7,0.7,0.7800000000000001
468,0.4,0.5,0.5,0.7,0.5,0.5199999999999999
469,0.4,0.3,0.3,0.9,0.3,0.43999999999999995
470,0.8,0.8,0.8,0.7,0.7,0.7600000000000001
471,0.5,0.7,0.5,0.5,0.6,0.56
472,0.9,0.8,0.8,0.8,0.9,0.84
473,0.9,0.8,0.9,0.7,0.7,0.7999999999999999
474,0.8,0.9,0.8,0.7,0.8,0.7999999999999999
475,1.0,0.9,0.7,0.7,0.5,0.7599999999999999
476,0.5,0.8,0.5,0.3,1.0,0.62
477,0.5,0.85,0.8,0.9,0.8,0.7700000000000001
479,0.85,0.8,0.85,0.85,0.7,0.8099999999999999
480,0.7,0.2,0.3,0.7,0.7,0.5199999999999999
483,0.5,0.7,0.7,0.7,0.8,0.6799999999999998
485,0.7,0.7,0.8,0.7,0.3,0.64
487,0.5,0.7,0.7,0.7,0.7,0.66
488,0.5,0.7,0.5,0.5,0.2,0.48000000000000004
489,0.7,0.7,0.8,0.7,0.85,0.7500000000000001
490,0.8,0.9,0.7,0.9,0.7,0.7999999999999999
491,0.7,0.85,0.7,0.8,0.7,0.75
492,0.9,0.7,0.7,0.7,0.9,0.7799999999999999
493,0.7,0.9,0.9,0.9,0.6,0.7999999999999999
494,0.9,1.0,0.9,1.0,0.9,0.9400000000000001
495,0.5,0.7,0.7,0.8,0.6,0.66
497,0.8,0.7,0.7,0.9,0.7,0.7599999999999999
498,0.3,0.5,0.7,0.7,0.7,0.5800000000000001
499,0.5,0.5,0.7,0.5,0.3,0.5
500,0.9,0.8,0.9,0.9,0.9,0.88
501,0.5,0.3,0.2,0.5,0.3,0.36000000000000004
502,0.7,0.8,1.0,0.8,0.5,0.7599999999999999
503,0.5,0.8,0.7,0.7,0.7,0.68
505,0.9,0.7,0.8,1.0,0.9,0.8600000000000002
506,0.9,0.7,0.9,0.8,1.0,0.86
507,0.8,0.5,0.9,0.5,0.9,0.7200000000000001
508,0.6,0.7,0.7,0.5,0.8,0.66
509,0.7,0.7,0.9,0.7,0.7,0.7400000000000001
510,0.3,0.7,0.7,0.5,0.7,0.5800000000000001
511,0.85,0.9,0.9,0.5,0.7,0.7699999999999999
512,0.8,0.8,0.8,0.9,0.7,0.7999999999999999
513,0.9,0.8,0.8,0.9,0.9,0.86
514,0.7,0.7,0.8,0.5,0.7,0.68
515,0.8,0.8,0.9,0.9,0.5,0.7799999999999999
516,0.7,0.8,0.7,0.9,0.7,0.7599999999999999
517,0.2,0.3,0.7,0.5,0.5,0.44
518,0.7,0.7,0.9,0.6,0.8,0.7400000000000001
519,0.8,0.8,0.8,0.7,0.8,0.7800000000000001
520,0.9,0.85,0.5,0.25,0.8,0.66
521,0.9,0.9,0.9,0.7,0.9,0.8600000000000002
522,0.7,0.8,0.8,0.7,0.7,0.7400000000000001
523,0.8,0.7,0.8,0.6,0.3,0.64
525,0.7,0.7,0.5,0.7,0.7,0.66
526,1.0,0.5,0.5,0.9,0.7,0.7199999999999999
527,0.7,0.6,0.7,0.7,0.6,0.66
528,0.8,0.7,0.8,0.8,0.9,0.7999999999999999
529,0.8,0.9,0.5,0.9,0.9,0.7999999999999999
530,0.7,0.6,0.7,0.7,0.7,0.6799999999999998
533,0.7,0.8,0.9,0.7,1.0,0.82
536,0.7,0.8,0.7,0.8,0.8,0.7599999999999999
537,0.9,0.9,0.7,0.8,0.7,0.7999999999999999
538,0.8,0.9,0.7,0.8,0.9,0.8200000000000002
540,0.8,0.7,0.9,0.6,0.9,0.7799999999999999
541,0.7,0.5,0.7,0.7,0.5,0.62
542,0.3,0.5,0.8,0.7,0.7,0.6
543,0.8,0.7,0.7,0.9,0.8,0.7800000000000001
544,0.5,0.5,0.7,0.7,0.9,0.66
545,0.7,0.7,0.9,0.7,0.9,0.7799999999999999
546,0.9,0.8,0.7,0.8,1.0,0.84
548,0.9,0.9,0.9,0.5,0.9,0.8200000000000002
550,0.7,0.5,0.7,0.5,0.5,0.58
552,0.8,0.7,0.9,0.6,0.9,0.7799999999999999
553,0.5,0.9,0.9,0.9,0.9,0.82
554,0.8,0.8,0.9,0.8,0.7,0.7999999999999999
556,0.7,0.7,0.7,0.7,0.7,0.7000000000000001
557,0.7,0.8,0.7,0.7,0.5,0.68
559,0.9,0.9,0.9,0.7,0.8,0.84
560,0.5,0.5,0.7,0.5,0.5,0.54
561,0.9,0.7,0.8,0.7,0.8,0.7800000000000001
562,0.7,0.8,0.5,0.9,0.8,0.7400000000000001
563,0.8,0.8,0.7,0.8,0.7,0.7599999999999999
564,0.8,0.7,0.5,0.7,0.5,0.64
565,0.7,0.8,0.8,0.85,0.7,0.7699999999999999
567,0.7,0.9,0.8,0.85,0.8,0.8100000000000002
570,0.6,0.7,0.7,0.6,0.7,0.66
571,0.95,0.9,1.0,0.7,1.0,0.91
572,0.8,0.3,0.7,0.7,0.5,0.6
573,0.8,0.9,0.9,0.9,0.8,0.86
574,0.9,0.9,0.9,0.9,0.9,0.9
575,0.9,0.9,0.9,1.0,0.9,0.92
576,0.9,1.0,0.9,0.7,0.9,0.88
577,0.7,0.8,0.9,0.9,0.5,0.7599999999999999
578,0.7,0.9,0.8,0.7,0.8,0.7800000000000001
579,0.3,0.5,0.5,0.7,0.5,0.5
581,0.7,0.9,0.8,0.7,0.8,0.7800000000000001
582,0.3,0.7,0.8,0.7,0.3,0.5599999999999999
583,0.85,0.5,0.8,0.9,0.85,0.7800000000000001
584,0.8,0.7,0.7,0.8,0.5,0.7000000000000001
